"book_id","title","stock","order_quantity","remaining_quantity"
1,"Configurable modular throughput",100,"3","97"
2,"Persevering reciprocal knowledge user",19,"0","19"
3,"Streamlined coherent initiative",27,"5","22"
4,"Customizable 24hour product",8,"0","8"
5,"Adaptive 5thgeneration encoding",16,"8","8"
6,"Advanced encompassing implementation",2,"0","2"
7,"Open-architected exuding structure",95,"5","90"
8,"Persistent local encoding",84,"3","81"
9,"Optimized interactive challenge",70,"0","70"
10,"Ergonomic national hub",25,"1","24"
11,"Secured zero tolerance time-frame",10,"5","5"
12,"Polarized optimal array",63,"0","63"
13,"Adaptive 5thgeneration orchestration",99,"9","90"
14,"Re-engineered demand-driven parallelism",95,"0","95"
15,"User-friendly motivating strategy",58,"0","58"
16,"Vision-oriented tangible project",8,"1","7"
17,"Reduced secondary core",45,"9","36"
18,"Adaptive 4thgeneration concept",32,"14","18"
19,"Progressive asymmetric Internet solution",1,"1","0"
20,"Face-to-face systematic throughput",64,"0","64"
21,"Down-sized static interface",87,"3","84"
22,"Multi-layered optimizing migration",78,"0","78"
23,"Reverse-engineered context-sensitive hardware",70,"0","70"
24,"Ergonomic incremental hub",54,"0","54"
25,"Devolved mobile conglomeration",79,"6","73"
26,"Multi-channeled multi-tasking capability",41,"11","30"
27,"Team-oriented human-resource access",76,"0","76"
28,"Expanded analyzing portal",79,"2","77"
29,"Quality-focused multi-tasking challenge",100,"4","96"
30,"Multi-layered global open system",37,"0","37"
31,"Implemented encompassing conglomeration",44,"27","17"
32,"Synergistic dedicated concept",100,"10","90"
33,"Team-oriented empowering synergy",49,"15","34"
34,"Stand-alone multimedia throughput",43,"2","41"
35,"Grass-roots solution-oriented adapter",85,"9","76"
36,"Open-source needs-based secured line",86,"17","69"
37,"Up-sized tertiary archive",3,"0","3"
38,"Pre-emptive asynchronous leverage",72,"10","62"
39,"Optimized national process improvement",42,"0","42"
40,"Adaptive didactic interface",94,"1","93"
41,"Integrated grid-enabled superstructure",78,"0","78"
42,"Pre-emptive interactive focus group",82,"5","77"
43,"Function-based zero-defect initiative",61,"4","57"
44,"Networked systemic implementation",0,"0","0"
45,"Centralized cohesive website",59,"8","51"
46,"Distributed attitude-oriented open system",75,"3","72"
47,"Reverse-engineered directional conglomeration",90,"17","73"
48,"Multi-channeled 5thgeneration Internet solution",94,"1","93"
49,"Robust attitude-oriented attitude",15,"15","0"
50,"Face-to-face responsive secured line",63,"0","63"
51,"Visionary optimizing project",95,"3","92"
52,"Triple-buffered neutral adapter",85,"21","64"
53,"Triple-buffered multi-tasking help-desk",60,"0","60"
54,"Progressive bi-directional methodology",27,"0","27"
55,"Streamlined well-modulated migration",66,"0","66"
56,"Integrated intermediate Internet solution",67,"19","48"
57,"Team-oriented 3rdgeneration encryption",27,"3","24"
58,"Profound logistical capacity",14,"3","11"
59,"Distributed directional adapter",41,"0","41"
60,"Robust eco-centric capacity",0,"9","-9"
61,"Future-proofed upward-trending process improvement",10,"5","5"
62,"Re-contextualized real-time strategy",23,"0","23"
63,"Polarized heuristic database",56,"7","49"
64,"Polarized hybrid emulation",86,"9","77"
65,"Total explicit open architecture",7,"19","-12"
66,"Synergized bandwidth-monitored workforce",93,"5","88"
67,"Grass-roots zero tolerance archive",25,"5","20"
68,"Centralized responsive firmware",23,"0","23"
69,"Cloned impactful solution",50,"14","36"
70,"Customer-focused context-sensitive process improvement",19,"7","12"
71,"Organized methodical productivity",40,"9","31"
72,"Networked contextually-based throughput",65,"10","55"
73,"Realigned multi-tasking installation",39,"28","11"
74,"Automated scalable installation",83,"0","83"
75,"Multi-layered fresh-thinking solution",3,"1","2"
76,"Innovative directional matrix",9,"0","9"
77,"Cross-platform asynchronous encryption",88,"12","76"
78,"Synergized mobile architecture",86,"10","76"
79,"Extended actuating encryption",4,"0","4"
80,"Compatible 24/7 forecast",19,"13","6"
81,"Team-oriented logistical analyzer",13,"1","12"
82,"Optimized multi-state capacity",38,"7","31"
83,"Sharable regional product",92,"10","82"
84,"Stand-alone 24hour interface",20,"8","12"
85,"Enhanced impactful system engine",29,"3","26"
86,"Re-engineered 24/7 projection",44,"0","44"
87,"Decentralized actuating analyzer",98,"0","98"
88,"Robust tangible hardware",32,"19","13"
89,"Mandatory exuding monitoring",16,"0","16"
90,"Business-focused eco-centric help-desk",10,"4","6"
91,"Integrated exuding application",81,"2","79"
92,"Switchable context-sensitive productivity",58,"0","58"
93,"Object-based multimedia algorithm",37,"9","28"
94,"Open-source 5thgeneration alliance",75,"0","75"
95,"Function-based heuristic analyzer",11,"0","11"
96,"Up-sized impactful artificial intelligence",73,"0","73"
97,"Open-architected stable solution",70,"15","55"
98,"Digitized encompassing definition",83,"0","83"
99,"Optimized heuristic challenge",26,"10","16"
100,"Synchronized client-server service-desk",29,"9","20"
101,"Multi-tiered context-sensitive hub",40,"10","30"
102,"Ergonomic stable open architecture",31,"3","28"
103,"Upgradable foreground open system",11,"6","5"
104,"Automated radical solution",82,"3","79"
105,"Expanded explicit neural-net",4,"9","-5"
106,"Cross-group zero administration utilization",80,"0","80"
107,"Front-line client-driven projection",44,"0","44"
108,"Future-proofed fault-tolerant encoding",28,"10","18"
109,"Operative foreground project",60,"4","56"
110,"Re-contextualized radical matrix",2,"15","-13"
111,"Switchable full-range definition",54,"0","54"
112,"Distributed secondary software",21,"2","19"
113,"Versatile value-added structure",76,"4","72"
114,"Open-architected scalable knowledge user",2,"7","-5"
115,"Upgradable interactive emulation",37,"4","33"
116,"Multi-tiered foreground contingency",50,"0","50"
117,"Self-enabling contextually-based frame",20,"4","16"
118,"Profound didactic leverage",22,"10","12"
119,"Switchable modular moratorium",76,"21","55"
120,"Integrated secondary access",93,"23","70"
121,"Switchable needs-based strategy",38,"3","35"
122,"Profound leadingedge capability",17,"14","3"
123,"Enterprise-wide dedicated knowledge user",16,"0","16"
124,"Seamless demand-driven focus group",11,"7","4"
125,"Public-key analyzing Graphic Interface",16,"5","11"
126,"Persevering national encoding",78,"0","78"
127,"Business-focused real-time benchmark",0,"9","-9"
128,"Visionary modular productivity",35,"1","34"
129,"Decentralized multi-tasking data-warehouse",29,"17","12"
130,"Realigned context-sensitive pricing structure",90,"1","89"
131,"Proactive 6thgeneration methodology",11,"0","11"
132,"Multi-lateral methodical implementation",53,"10","43"
133,"Reduced discrete leverage",90,"1","89"
134,"Polarized bandwidth-monitored throughput",49,"0","49"
135,"Customizable bi-directional focus group",83,"17","66"
136,"Stand-alone intangible installation",84,"14","70"
137,"Networked contextually-based encryption",1,"11","-10"
138,"Profound zero-defect knowledgebase",8,"17","-9"
139,"Synergistic analyzing intranet",51,"0","51"
140,"Assimilated asymmetric Local Area Network",6,"0","6"
141,"Exclusive hybrid monitoring",36,"0","36"
142,"Multi-tiered responsive parallelism",11,"22","-11"
143,"Networked multimedia support",50,"1","49"
144,"Future-proofed scalable software",90,"0","90"
145,"Phased eco-centric array",57,"0","57"
146,"Stand-alone hybrid framework",91,"17","74"
147,"Innovative empowering concept",74,"18","56"
148,"Upgradable contextually-based hierarchy",97,"3","94"
149,"Expanded explicit solution",73,"11","62"
150,"Phased logistical open system",32,"9","23"
151,"Innovative real-time neural-net",38,"0","38"
152,"Advanced dynamic complexity",84,"0","84"
153,"Synergistic needs-based capability",52,"0","52"
154,"Horizontal hybrid forecast",19,"20","-1"
155,"Optimized content-based standardization",88,"0","88"
156,"Synergistic grid-enabled website",34,"6","28"
157,"Advanced didactic time-frame",57,"24","33"
158,"Digitized optimal intranet",40,"7","33"
159,"Proactive 5thgeneration middleware",49,"4","45"
160,"Digitized cohesive emulation",65,"10","55"
161,"Focused high-level strategy",11,"14","-3"
162,"Centralized maximized database",64,"0","64"
163,"Object-based eco-centric challenge",0,"3","-3"
164,"Expanded scalable time-frame",4,"1","3"
165,"Exclusive uniform superstructure",19,"0","19"
166,"Customizable discrete Graphical User Interface",56,"0","56"
167,"User-friendly radical standardization",55,"0","55"
168,"Vision-oriented radical capability",61,"11","50"
169,"Networked tertiary approach",45,"8","37"
170,"Optional stable matrix",62,"2","60"
171,"Integrated hybrid collaboration",99,"5","94"
172,"Centralized homogeneous open system",97,"5","92"
173,"Ergonomic foreground Graphic Interface",100,"0","100"
174,"Pre-emptive executive knowledge user",18,"9","9"
175,"Networked disintermediate projection",39,"10","29"
176,"Fundamental system-worthy parallelism",52,"8","44"
177,"Visionary exuding product",3,"0","3"
178,"Organized even-keeled conglomeration",31,"0","31"
179,"Innovative didactic capacity",66,"2","64"
180,"Front-line discrete complexity",14,"5","9"
181,"Balanced object-oriented Graphic Interface",85,"7","78"
182,"Reduced bottom-line forecast",9,"0","9"
183,"Total exuding project",6,"5","1"
184,"Enterprise-wide solution-oriented challenge",22,"9","13"
185,"Networked object-oriented definition",10,"0","10"
186,"Sharable executive conglomeration",4,"8","-4"
187,"Total well-modulated groupware",7,"0","7"
188,"Switchable value-added conglomeration",73,"7","66"
189,"Grass-roots eco-centric task-force",88,"11","77"
190,"Cross-platform even-keeled focus group",4,"0","4"
191,"Multi-layered 24hour infrastructure",8,"10","-2"
192,"Phased solution-oriented collaboration",71,"3","68"
193,"Customer-focused tertiary methodology",100,"0","100"
194,"Digitized content-based time-frame",64,"0","64"
195,"Sharable tangible collaboration",20,"0","20"
196,"Phased context-sensitive task-force",24,"22","2"
197,"Organized content-based core",9,"7","2"
198,"Persevering tertiary product",80,"16","64"
199,"Configurable fault-tolerant interface",1,"7","-6"
200,"Right-sized modular synergy",32,"7","25"
201,"Secured 24/7 groupware",11,"7","4"
202,"Balanced optimal open architecture",32,"10","22"
203,"Self-enabling mobile software",52,"0","52"
204,"Business-focused foreground model",59,"0","59"
205,"De-engineered attitude-oriented software",8,"0","8"
206,"Digitized executive flexibility",84,"1","83"
207,"Total intangible application",53,"0","53"
208,"Synergized intangible methodology",83,"23","60"
209,"Distributed modular capability",63,"10","53"
210,"Centralized 6thgeneration model",51,"3","48"
211,"Centralized asymmetric data-warehouse",44,"1","43"
212,"Diverse 4thgeneration knowledge user",35,"1","34"
213,"Synchronized transitional alliance",35,"5","30"
214,"Fundamental methodical open architecture",47,"16","31"
215,"Organic 24/7 focus group",37,"0","37"
216,"Down-sized mobile extranet",92,"0","92"
217,"Open-source 3rdgeneration secured line",98,"0","98"
218,"User-friendly tertiary forecast",34,"5","29"
219,"Reactive bandwidth-monitored architecture",32,"15","17"
220,"Multi-lateral zero-defect matrix",60,"0","60"
221,"Re-engineered solution-oriented extranet",2,"10","-8"
222,"Virtual fault-tolerant model",75,"16","59"
223,"Virtual holistic Internet solution",95,"12","83"
224,"Multi-channeled coherent protocol",80,"0","80"
225,"Synergized foreground website",26,"5","21"
226,"Devolved optimizing leverage",68,"0","68"
227,"Centralized context-sensitive functionalities",78,"15","63"
228,"Managed object-oriented hardware",5,"0","5"
229,"Managed hybrid array",78,"14","64"
230,"Optional cohesive methodology",59,"13","46"
231,"Polarized maximized challenge",84,"6","78"
232,"Monitored 24/7 groupware",1,"14","-13"
233,"Team-oriented client-driven adapter",47,"6","41"
234,"Total reciprocal monitoring",9,"1","8"
235,"Organized secondary protocol",19,"0","19"
236,"Assimilated disintermediate ability",87,"4","83"
237,"Down-sized holistic hardware",42,"8","34"
238,"Optimized even-keeled analyzer",72,"0","72"
239,"Devolved encompassing intranet",55,"0","55"
240,"Stand-alone content-based hub",41,"14","27"
241,"Up-sized fault-tolerant hub",38,"9","29"
242,"Business-focused responsive parallelism",38,"10","28"
243,"Automated systemic toolset",65,"0","65"
244,"Managed radical superstructure",88,"0","88"
245,"Automated client-driven open architecture",18,"17","1"
246,"Visionary actuating ability",98,"0","98"
247,"Innovative actuating instruction set",45,"0","45"
248,"Cross-group responsive protocol",68,"6","62"
249,"Fundamental national infrastructure",58,"0","58"
250,"Devolved incremental intranet",13,"13","0"
251,"Seamless 5thgeneration challenge",98,"0","98"
252,"Down-sized high-level encoding",43,"0","43"
253,"Horizontal didactic structure",21,"7","14"
254,"Team-oriented bandwidth-monitored project",100,"4","96"
255,"Switchable impactful superstructure",24,"3","21"
256,"Digitized multi-state circuit",77,"0","77"
257,"Multi-channeled 24/7 functionalities",33,"0","33"
258,"Robust systemic Graphical User Interface",6,"0","6"
259,"Pre-emptive incremental secured line",1,"0","1"
260,"Business-focused methodical application",10,"9","1"
261,"Intuitive content-based toolset",52,"6","46"
262,"Team-oriented content-based adapter",86,"5","81"
263,"Right-sized bifurcated definition",3,"0","3"
264,"De-engineered local interface",47,"2","45"
265,"Adaptive homogeneous moratorium",66,"9","57"
266,"Persevering disintermediate application",92,"4","88"
267,"Expanded demand-driven database",24,"0","24"
268,"Monitored 5thgeneration challenge",62,"0","62"
269,"Decentralized disintermediate Internet solution",42,"5","37"
270,"Organized logistical architecture",25,"0","25"
271,"Intuitive intangible circuit",82,"0","82"
272,"Intuitive 4thgeneration intranet",79,"10","69"
273,"Devolved zero administration process improvement",23,"24","-1"
274,"Automated systemic functionalities",72,"6","66"
275,"Team-oriented dedicated attitude",91,"2","89"
276,"Profound radical access",32,"1","31"
277,"Progressive user-facing customer loyalty",95,"0","95"
278,"Exclusive asymmetric installation",69,"0","69"
279,"Upgradable radical adapter",28,"13","15"
280,"Balanced next generation forecast",97,"6","91"
281,"Fundamental object-oriented productivity",83,"7","76"
282,"Configurable local emulation",3,"3","0"
283,"Phased value-added access",94,"0","94"
284,"Progressive 24hour artificial intelligence",99,"0","99"
285,"Devolved secondary function",34,"14","20"
286,"Sharable client-driven contingency",84,"0","84"
287,"Exclusive encompassing pricing structure",32,"3","29"
288,"Re-contextualized real-time Graphic Interface",9,"23","-14"
289,"Inverse asynchronous superstructure",66,"0","66"
290,"Expanded analyzing forecast",31,"0","31"
291,"Compatible impactful interface",13,"0","13"
292,"Fully-configurable mission-critical artificial intelligence",2,"4","-2"
293,"Secured object-oriented secured line",58,"7","51"
294,"Pre-emptive clear-thinking workforce",29,"0","29"
295,"Persistent disintermediate artificial intelligence",65,"11","54"
296,"Triple-buffered heuristic adapter",49,"2","47"
297,"Advanced well-modulated architecture",2,"0","2"
298,"Assimilated composite archive",62,"17","45"
299,"Centralized disintermediate array",73,"4","69"
300,"Integrated fresh-thinking toolset",77,"11","66"
301,"Polarized high-level installation",77,"13","64"
302,"Ergonomic leadingedge portal",92,"4","88"
303,"Open-source background extranet",77,"7","70"
304,"Front-line high-level emulation",23,"0","23"
305,"Down-sized bandwidth-monitored open system",27,"7","20"
306,"Phased didactic product",56,"2","54"
307,"Expanded local infrastructure",7,"23","-16"
308,"Expanded maximized collaboration",35,"14","21"
309,"Mandatory homogeneous ability",77,"5","72"
310,"Reduced well-modulated database",40,"0","40"
311,"Profit-focused static intranet",48,"0","48"
312,"Balanced multi-state monitoring",13,"0","13"
313,"Profound client-driven paradigm",53,"7","46"
314,"Decentralized discrete archive",74,"3","71"
315,"Virtual exuding Internet solution",40,"0","40"
316,"Multi-tiered client-server methodology",74,"13","61"
317,"Upgradable client-driven ability",13,"0","13"
318,"Cloned upward-trending installation",94,"0","94"
319,"Distributed disintermediate groupware",50,"12","38"
320,"Ergonomic clear-thinking interface",55,"7","48"
321,"Polarized optimizing moratorium",16,"1","15"
322,"Customizable object-oriented paradigm",42,"0","42"
323,"Balanced dynamic project",2,"16","-14"
324,"Diverse dynamic contingency",23,"5","18"
325,"Proactive secondary help-desk",50,"10","40"
326,"Networked composite Internet solution",78,"0","78"
327,"Implemented zero-defect product",29,"0","29"
328,"Sharable intermediate task-force",28,"0","28"
329,"Multi-tiered dedicated encryption",27,"0","27"
330,"Assimilated user-facing approach",25,"14","11"
331,"Profit-focused systematic project",89,"0","89"
332,"Quality-focused mobile migration",17,"0","17"
333,"Advanced responsive extranet",29,"15","14"
334,"Synergistic fault-tolerant attitude",88,"19","69"
335,"Adaptive bi-directional implementation",23,"8","15"
336,"Organized high-level algorithm",26,"15","11"
337,"Progressive impactful structure",44,"0","44"
338,"Seamless analyzing encoding",61,"1","60"
339,"Centralized uniform extranet",68,"15","53"
340,"Proactive system-worthy orchestration",88,"5","83"
341,"Robust multimedia support",42,"0","42"
342,"Digitized regional monitoring",84,"0","84"
343,"De-engineered grid-enabled secured line",86,"16","70"
344,"Optimized holistic approach",27,"1","26"
345,"Function-based disintermediate intranet",78,"6","72"
346,"Object-based asynchronous moratorium",23,"4","19"
347,"Synergistic exuding website",86,"0","86"
348,"Object-based contextually-based model",22,"8","14"
349,"Monitored interactive focus group",51,"5","46"
350,"Exclusive 24hour groupware",49,"14","35"
351,"Decentralized demand-driven middleware",42,"0","42"
352,"Intuitive intermediate paradigm",97,"11","86"
353,"Public-key intangible frame",41,"10","31"
354,"Enhanced holistic solution",41,"0","41"
355,"Reduced systematic forecast",34,"0","34"
356,"Front-line modular moratorium",44,"0","44"
357,"Intuitive value-added product",27,"0","27"
358,"Right-sized intangible infrastructure",29,"0","29"
359,"Secured maximized time-frame",99,"0","99"
360,"Profound tertiary encoding",73,"14","59"
361,"Optional object-oriented pricing structure",71,"5","66"
362,"Profit-focused multimedia throughput",64,"9","55"
363,"Proactive explicit capability",52,"8","44"
364,"Persevering scalable leverage",86,"0","86"
365,"Synchronized impactful synergy",99,"0","99"
366,"Re-contextualized national secured line",4,"0","4"
367,"Universal analyzing support",35,"0","35"
368,"Stand-alone logistical installation",97,"2","95"
369,"Diverse responsive focus group",100,"14","86"
370,"Synergistic user-facing frame",97,"2","95"
371,"Multi-tiered methodical paradigm",43,"10","33"
372,"Realigned mobile focus group",42,"2","40"
373,"Exclusive dynamic approach",49,"2","47"
374,"Operative non-volatile parallelism",72,"0","72"
375,"Fully-configurable disintermediate solution",55,"5","50"
376,"Mandatory full-range middleware",76,"6","70"
377,"Realigned 6thgeneration infrastructure",55,"16","39"
378,"Future-proofed heuristic function",0,"6","-6"
379,"Digitized zero-defect access",95,"5","90"
380,"Universal fault-tolerant array",78,"8","70"
381,"Total foreground alliance",14,"4","10"
382,"Implemented background approach",27,"0","27"
383,"Optional clear-thinking task-force",71,"0","71"
384,"Multi-channeled needs-based intranet",46,"12","34"
385,"Right-sized holistic productivity",65,"0","65"
386,"Synchronized 24/7 analyzer",71,"8","63"
387,"Grass-roots disintermediate analyzer",6,"13","-7"
388,"Distributed transitional solution",5,"1","4"
389,"Robust holistic solution",89,"0","89"
390,"Versatile mission-critical customer loyalty",35,"10","25"
391,"Face-to-face 6thgeneration attitude",35,"7","28"
392,"Horizontal hybrid emulation",86,"0","86"
393,"Triple-buffered multimedia access",44,"12","32"
394,"Integrated well-modulated Graphic Interface",59,"1","58"
395,"Proactive impactful attitude",19,"0","19"
396,"Assimilated local complexity",97,"0","97"
397,"Object-based secondary emulation",50,"16","34"
398,"Programmable context-sensitive forecast",50,"10","40"
399,"Distributed regional collaboration",25,"0","25"
400,"Multi-channeled context-sensitive adapter",47,"0","47"
401,"Managed eco-centric hierarchy",37,"0","37"
402,"Streamlined multimedia capability",24,"0","24"
403,"Persevering incremental strategy",82,"3","79"
404,"Face-to-face multi-tasking Internet solution",69,"4","65"
405,"Fundamental regional capacity",98,"0","98"
406,"De-engineered methodical capacity",50,"6","44"
407,"Mandatory executive groupware",50,"11","39"
408,"Decentralized tertiary customer loyalty",2,"0","2"
409,"Innovative directional project",49,"4","45"
410,"Team-oriented tangible ability",42,"9","33"
411,"Profit-focused solution-oriented open system",83,"4","79"
412,"Profound zero-defect process improvement",5,"8","-3"
413,"Cross-platform grid-enabled capacity",89,"0","89"
414,"Organized directional Internet solution",93,"7","86"
415,"Enhanced next generation standardization",18,"13","5"
416,"Expanded maximized portal",96,"0","96"
417,"Persistent radical neural-net",48,"0","48"
418,"Proactive client-driven knowledgebase",83,"8","75"
419,"Enterprise-wide multimedia initiative",25,"3","22"
420,"Proactive radical application",35,"0","35"
421,"Exclusive zero administration superstructure",58,"0","58"
422,"Grass-roots systematic moderator",39,"19","20"
423,"Implemented systematic leverage",14,"9","5"
424,"Object-based secondary knowledgebase",84,"6","78"
425,"Synergized analyzing solution",45,"2","43"
426,"Triple-buffered upward-trending artificial intelligence",98,"11","87"
427,"Ergonomic zero-defect software",46,"9","37"
428,"Innovative asymmetric utilization",66,"4","62"
429,"Cross-platform 24hour artificial intelligence",95,"8","87"
430,"Quality-focused methodical matrix",76,"6","70"
431,"Synergized fresh-thinking monitoring",31,"15","16"
432,"Horizontal disintermediate alliance",55,"4","51"
433,"Configurable 3rdgeneration synergy",81,"0","81"
434,"Monitored value-added focus group",4,"11","-7"
435,"Inverse grid-enabled attitude",10,"2","8"
436,"Sharable heuristic conglomeration",54,"7","47"
437,"Customizable directional matrices",7,"5","2"
438,"Synchronized mission-critical process improvement",82,"8","74"
439,"Monitored eco-centric framework",94,"0","94"
440,"Ergonomic disintermediate project",68,"0","68"
441,"Streamlined 6thgeneration collaboration",65,"3","62"
442,"Enhanced grid-enabled budgetary management",93,"6","87"
443,"Down-sized radical orchestration",89,"15","74"
444,"Open-source radical capability",26,"0","26"
445,"Advanced reciprocal time-frame",71,"0","71"
446,"Open-architected 3rdgeneration budgetary management",7,"8","-1"
447,"Enterprise-wide empowering circuit",9,"18","-9"
448,"Digitized uniform Internet solution",70,"6","64"
449,"Universal homogeneous adapter",1,"13","-12"
450,"Reactive high-level framework",18,"9","9"
451,"Re-contextualized logistical throughput",87,"0","87"
452,"Vision-oriented 5thgeneration analyzer",5,"0","5"
453,"Optional 6thgeneration task-force",65,"0","65"
454,"Stand-alone methodical implementation",94,"7","87"
455,"Diverse zero tolerance service-desk",55,"5","50"
456,"User-centric composite projection",37,"0","37"
457,"Configurable disintermediate extranet",2,"2","0"
458,"Cross-group analyzing matrix",53,"4","49"
459,"Customizable optimal infrastructure",45,"3","42"
460,"Optimized human-resource forecast",39,"5","34"
461,"Cloned cohesive attitude",39,"1","38"
462,"Innovative 3rdgeneration database",62,"6","56"
463,"Re-engineered disintermediate definition",36,"5","31"
464,"Function-based human-resource migration",12,"0","12"
465,"Organic attitude-oriented support",78,"0","78"
466,"Multi-channeled mission-critical initiative",93,"18","75"
467,"Function-based dedicated frame",96,"6","90"
468,"Organized upward-trending parallelism",83,"7","76"
469,"Automated 5thgeneration customer loyalty",92,"17","75"
470,"Function-based mobile neural-net",40,"0","40"
471,"Cross-platform next generation website",37,"21","16"
472,"Stand-alone clear-thinking extranet",9,"0","9"
473,"Fully-configurable mobile solution",72,"0","72"
474,"Grass-roots static hub",98,"0","98"
475,"Stand-alone zero administration emulation",100,"1","99"
476,"Front-line next generation migration",37,"0","37"
477,"Distributed cohesive approach",17,"13","4"
478,"Total logistical parallelism",53,"0","53"
479,"Balanced grid-enabled architecture",60,"12","48"
480,"Adaptive mobile toolset",75,"0","75"
481,"Automated transitional hardware",77,"5","72"
482,"Pre-emptive transitional contingency",33,"7","26"
483,"Enterprise-wide analyzing alliance",46,"0","46"
484,"User-centric discrete software",37,"0","37"
485,"Decentralized content-based access",57,"17","40"
486,"Monitored tangible extranet",52,"9","43"
487,"Self-enabling actuating monitoring",26,"0","26"
488,"Optimized attitude-oriented synergy",64,"10","54"
489,"Enhanced system-worthy middleware",49,"0","49"
490,"Progressive client-server infrastructure",40,"2","38"
491,"Pre-emptive intangible adapter",2,"20","-18"
492,"Implemented next generation open architecture",76,"12","64"
493,"User-centric bi-directional application",89,"0","89"
494,"Triple-buffered dedicated strategy",59,"0","59"
495,"Horizontal background throughput",43,"0","43"
496,"Decentralized radical forecast",96,"0","96"
497,"Function-based local installation",33,"3","30"
498,"Secured 24/7 neural-net",22,"0","22"
499,"Compatible transitional budgetary management",64,"0","64"
500,"Vision-oriented zero tolerance initiative",64,"0","64"
